"item","faixa","categoria","observado","esperado","proporcao_observada","proporcao_esperada"
"Item_4","16","0",4,7.54619701864933,0.00133333333333333,0.00251539900621644
"Item_4","17","0",3,4.08999372145296,0.001,0.00136333124048432
"Item_4","4","1",7,4.87418306483177,0.00233333333333333,0.00162472768827726
"Item_4","5","1",11,7.26444365803002,0.00366666666666667,0.00242148121934334
"Item_4","6","1",15,22.7115850237105,0.005,0.00757052834123682
"Item_4","7","1",57,51.0915560966076,0.019,0.0170305186988692
"Item_4","8","1",101,98.1952321076886,0.0336666666666667,0.0327317440358962
"Item_4","9","1",163,161.942998077757,0.0543333333333333,0.0539809993592524
"Item_4","10","1",195,198.589837205858,0.065,0.0661966124019527
"Item_4","11","1",260,265.866469600842,0.0866666666666667,0.0886221565336141
"Item_4","12","1",348,337.634429452464,0.116,0.112544809817488
"Item_4","13","1",312,324.386900075899,0.104,0.108128966691966
"Item_4","14","1",291,293.476717920053,0.097,0.0978255726400178
"Item_4","15","1",275,271.259382080828,0.0916666666666667,0.0904197940269427
"Item_4","16","1",182,178.453802981351,0.0606666666666667,0.0594846009937836
"Item_4","17","1",202,200.910006278547,0.0673333333333333,0.066970002092849
"Item_5","4","0",14,14.2202760613395,0.00466666666666667,0.00474009202044649
"Item_5","5","0",13,14.0995088895109,0.00433333333333333,0.00469983629650364
"Item_5","6","0",32,32.9242365193534,0.0106666666666667,0.0109747455064511
"Item_5","7","0",54,55.8250102621901,0.018,0.0186083367540634
"Item_5","8","0",90,80.9703447344696,0.03,0.0269901149114899
"Item_5","9","0",100,100.439252710647,0.0333333333333333,0.0334797509035491
"Item_5","10","0",99,92.0911338740448,0.033,0.0306970446246816
"Item_5","11","0",87,91.4923048158728,0.029,0.0304974349386243
"Item_5","12","0",83,85.4607408528427,0.0276666666666667,0.0284869136176142
"Item_5","13","0",59,59.725688686694,0.0196666666666667,0.0199085628955647
"Item_5","14","0",38,38.7108815836624,0.0126666666666667,0.0129036271945541
"Item_5","15","0",18,25.0577917276105,0.006,0.00835259724253684
"Item_5","16","0",13,11.1360943103682,0.00433333333333333,0.00371203143678942
"Item_5","17","0",5,4.87097347116725,0.00166666666666667,0.00162365782372242
"Item_5","18","0",3,1.54164025331969,0.001,0.000513880084439898
"Item_5","4","1",4,3.77972393866052,0.00133333333333333,0.00125990797955351
"Item_5","5","1",7,5.90049111048908,0.00233333333333333,0.00196683037016303
"Item_5","6","1",20,19.0757634806465,0.00666666666666667,0.00635858782688218
"Item_5","7","1",46,44.1749897378101,0.0153333333333333,0.01472499657927
"Item_5","8","1",78,87.0296552655305,0.026,0.0290098850885102
"Item_5","9","1",147,146.560747289353,0.049,0.0488535824297843
"Item_5","10","1",176,182.908866125956,0.0586666666666667,0.0609696220419852
"Item_5","11","1",253,248.507695184127,0.0843333333333333,0.082835898394709
"Item_5","12","1",322,319.539259147157,0.107333333333333,0.106513086382386
"Item_5","13","1",311,310.274311313306,0.103666666666667,0.103424770437769
"Item_5","14","1",284,283.289118416338,0.0946666666666667,0.0944297061387793
"Item_5","15","1",271,263.942208272389,0.0903333333333333,0.0879807360907964
"Item_5","16","1",173,174.863905689632,0.0576666666666667,0.0582879685632107
"Item_5","17","1",121,121.129026528833,0.0403333333333333,0.0403763421762775
"Item_5","18","1",76,77.4583597466801,0.0253333333333333,0.0258194532488934
"Item_6","4","0",17,15.2743708468363,0.00566666666666667,0.00509145694894542
"Item_6","5","0",14,15.6385511927586,0.00466666666666667,0.0052128503975862
"Item_6","6","0",39,37.5363286160216,0.013,0.0125121095386739
"Item_6","7","0",60,65.5249079441432,0.02,0.0218416359813811
"Item_6","8","0",96,97.9204455657723,0.032,0.0326401485219241
"Item_6","9","0",139,125.101650588056,0.0463333333333333,0.0417005501960187
"Item_6","10","0",105,117.949011621904,0.035,0.0393163372073012
